id,w2v
326, જ ો ઈ એ   ત ો   ગ ુ જ ર ા ત મ ા ં   ટ ા ટ ા ન ો   ન ે ન ો   પ ્લા ન્ ટ   પ ણ   છ ે   મ ા ર ો   ત   સ ી ઝ ુ ગ ી   ક ં પ ન ી ઓ ન ી   ગ ા ડ ી ઓ   બ ન ાવ વ ા ન ી   પ ણ  સ ી ્ધ ી   ગ ુ જ ર ા ત મ ાં  છ ે   
327, ન ્ ય ૂ   સ ્ ટ ા ર ્ટ  અ પ મ ાં   પ ણ   વ ધ ા ર ે મા ં   વ ધ ા ર ે   લ ો ક ો   ન ્ ય ૂ   સ ્ ટ ા ર ્ ટ  અ પ   ક ર ી   ર હ ્ યા   છ ે   એ વ ી  જ  ર ી ત ે   ગ ુ જ ર ા ત ને   ફ ૂ ટ   સ ે ફ ્ ટ ી   અ ન ે   સ ્ ટ ા ન્ડ ર્ડ   ઓ થ ો ર િ ટ ી   ઑ ફ   ઇ ન્ડિય ા   સ એ સ આ   સ ે ફ ટ ી   ઇ ન ્ ડ ે ક સ     
328, એ સ આ   એ વ ો ર્ ડ   પ ણ   મ ે ળ વ ્ લ ો   છ ે   એ વ ી   અ ન ે ક ો   વ િ ધ   સ િ દ ્ધ િ ઓ   ગ ુ જ ર ા ત ી   હ ા ં સ લ   ક ર ે લ ી   છ ે   
329, ચ િ ડ ન ી   મ ે લ બ ન   પ ર ્ થ   મ ે ક ્ સ િ ક ો   વ ો શ િંગ ્ ટ ન   
330, હ ુ ં   મ ા ર ા   જ ી વ ન   ન ે વ ા   મ ા ટ ે   દ િ વ ્ ય ા ં ગ  બ ા ળ ક ો ન ા   શ િ ક ્ ષ ણ મ ા ં   
331, આ ર ો ગ ્ય મ ા ં   એ ન ે   મ ળ ત ી   ત મ ા મ   સ હા ય   મ ા ટ ે   ગ ે ન જ ી વ મ ા ં   ક ા મ   ક ર ું  છ ુ ં   ક ા ર ણ   ક ે   એ   મ ા ર ્ગ મે   એ ટ લ ા  મ ા ટ ે  પ સ ં દ  ક ર ય ો   ક ે   અ ત્ યા ર ે   આ વ ા   ફ ા સ્ટ   ય ુ ગ ન ી  અ ં દ ર   સ ા મ ા ન ્ય   મ ા ણ ક ન ે   વ ્ય ક ્ ત િ ન ે   જ ી વ ું   દ હ ે લ ું   છ ે   
332, આ વ ા જ ે  અ સ ક ્ ત   દ િ વ ્ ય ા ં  વ ્ય ક ્ ત િ   હ ો ય   અ ન ે   જ ી વ ન   જ ી વ ુ ં   કે ટ લ ું   ક ઠ િ ન  હો ય   ત ો  એ ન ે   આ પ ણ ે   મ ા ર ે   એ ટ લ ા   મ ા ટ ે   પ સ ં દ  ક ર યો  ક ે   એ ન ા   જ ી વ ન માં અ જ વ ા ડ ુ ં  લ વ ું   
333, એ ન ે   સ ક િ લ  આ પ ી   શ િ ક ્ ષ ણ  આ પ વ ુ ં   આ ર ો ગ ્ય ની   સ ે વા ઓ   પ ૂ ર ી   પ ા ર ી   સ મ ા જ દ વા ર ા   સ ર ક ા ર   દ્વા ર ા   એ ા   જ ા ગ ૃ ત િ   આ વ ે   એ વા   પ્ર ય ત ્ ન ો   ક ર વ ા   એ ન ે   લ ગ ત ા   સ ્ ક િ લ  ઇ ન્ ડ િય ા  ડ ે વ લ પ   પ્ર ો ગ્ર ા મ  ક ર વ ા   અ ન ે   એ ન ા   જ ી વ ન ન ે   ઘ ડ ત ર   ક ર ુ ં   
334, એ ન ે   પ ણ   બ િ ચ ા ર   બ ા પ ડ ા   ન થ ી   એ વ ુ ં   આ પ ણ ે ન ે   સ મ ા જ ન ા   ન ું  ઉ દ ા હર ણ   પ ૂ ર ું   પ ા ડ વુ ં   
335, અ ન ે   એ ક   ન   આ ત ્ મ   સ ન ્ મ ા ન   સ ા થ ે   જ ી વ ી   શ ક ે   એ વું વ ા ત ા વ ર ણ   ન િ ર ્ મ ા ણ   ક ર ુ ં   એ  જ  મ ા ર ા   જ ી વ ન ન ો   મ ા ર્ ગ   છ ે   એ   મ ા ર ી   ક ા ર ક િ ર્દ ી ન ો   પ ણ  એ ક   ભ ા ગ   છ ે   ન ે એ ન જ ી ઓ   સ ા થ ે   ર હ ી ન ા   ક ા ર ્ય મ ે   ક ર ી  ર હ ્ય ા   છ ી એ   
336, બ ે ં ગ લ ુ ર ુ મ ા ં   હ ા લ   શ ું   સ મ ય   થ ય ો   
337, હ ા   મ ન ે   લ ા ગ ે   છ ે   ક ે   મ હિ લ ા ઓ   અ ન ે   ગ્ર ા મ ી ણ  ક ્ ષ ે ત ્ ર ન ા   લ ો ક ો   મ ા ટ ે   મ ો ટ ી   સ ્ ટ ે મ   ય ુ ન િ વ ર ્ સ િ ટ ી ઓ   અ ન ે   ક ો લ ે જ મ ા ં   સ મ ા ત ક ો   
338, છ ે   ક ા ર ણ   ક ે   હ ા લ  આ પ ણ ે   જ ો ઈ   શ ક ી એ   છ ી એ   ક ે   અ લ ગ  અ લ ગ   સ ા ય ન ્ સ   ટ ે ક ન ો લ ો જ ી   એ ન્ જ િ નિ ય ર િ ંગ   અ ન ે   મ ે ચ   આ   બ ધ ા   જ  વિ ષ ય ો   પ ર   લ ો ક ો ન ે   
339, ન ા ન પ ણ થ ી  જ  સ ર ક ા ર ી   હ ો ય   ક ે   પ છ ી   પ ્ ર ા ઈ વ ે ટ   હ ો ય   બ ધ ી  જ  શ ા ળ ા ઓ   અ ન ે   ક ો લ ે જ ો મ ાં   
340, એ ડ મ િ શ ન   ખ ુ લ ા જ   હ ો ય   છ ે   બ ધ ા   પ ો ત ા ન ા   ભ ૂ ન   અ ન ે   પ્ર દ ર ્ શ ન   પ્ર મ ા ણ ે   
341, ગ મ ે   ત ે   ક ો લ ે જ ો મ ા ં   સ ા ર ા   મ ે ર ી   ર   પ ર   
342,થ ી   એ   એ ડ મ િ શ ન   લ ઈ   શ ક ે   છ ે   જ ે થ ી   ક દ ા ચ ી   બ ા ળ ક   ગ ા ં ભ ડ ા ન ો   હ ો ય   
343, ક ે   પ છ ી   એ   શ હ ે ર ન   હ ો ય   એ   મ હિ લ ા   હ ો ય   ક ે   પ છ ી   મ ર ્ જ   હ ો ય   બ ધ ા  જ  લ ો ક ો ન ે   હ ા લ   આ પ ણ ે   જ ો વ ા   જ ઈ એ   ત ો   સ મ ા ં ત ક   એ ક   મ ે ર િ ટ ન ા   હિ સ ા બ થ ી   મ ળ ત ી   હ ો ય   છ ે   પ ણ   જ ે વ ી   આ પ ણી   મ હ ે ન ત   હ ો ય   એ ટ લ ું   આ પ ણ ે   એ મ ા ં   ક ર ી   શ ક ી એ   ત ે થ ી   મ ન ે  એ વ ું  લ ા ગ ે   છ ે   ક ે   મ હ િ લ ા ઓ   અ ન ે   ગ્ર ા મ ી ણ  ક ્ષ ે ત ્ ર ના   લ ો ક ો   મ ા ટ ે   
344, મ ો ટ ી   સ્ ટ ે મ   ય ુ ન િ વ ર ્ સ િ ટ ી ઓ   ન ે   ક ો લ ે જ મ ાં   સ મ ા ન ત ક ો  હ ો ય   છ ે   અ ન ે   ર હ ે વ ા ન ી   પ ણ   છ ે   હ જ ી   આ ગ ળ   જ ે મ  આ પ ણે   બ દ ત ા  જ શ ું   ત ે મ   સ ્ટ ે ન   ય ુ ન િ વ ર ્ સ િ ટ ી ઓ   વ ધ ત ી   જ શ ે   અ ન ે   એ મ ા ં   ર હ ે લ   જ ગ ્ય ા ઓ   પ ણ   વ ધ ત ી   જ શ ે   જ ે થ ી   ક ર ી ન ે   
345, ભ વ િ ષ ્ ય મા ં  હ જ ી   પ ણ   ગ ્ર ા મ ી ણ ન ા   ક ્ ષ ે ત ્ર ન ા   લ ો ક ો ન ે   અ ન ે  મ હિ લ ા ઓ ન ે   સ ા ર ી  ર ી ત ે   બ ધ ી   ર ી ત ન ો   લ ા ભ   ય ુ ન િ વ ર ્ સ િ ટ ી   મ ળ શ ે 
346, હ ા   લ ી ન ા બે ન  બ ો લ ો   છ ો  મ ો બ ા ઇલ   સ્ટ ો મ ાં થ ી   
347, હ ા   આ પ ન ે   મ ે ડ મ શ ુ ં   છ ે   અ ત ્ય ા ર ે   ન વ ા   મ ો ડ લ મ ાં   શ ું  આ વ ્ય ું   છ ે   
348, એ પ પ લ  મ ા ટ ે  અ ત ્યાર ે   શ ું   છ ે   આ ઈ ફ ો ન     મ ા ટ ે   
349, બ ો ર વ ો   
350, ત ો ટ ી શ ુ  પ્ ર ા ઈ ઝ   હ શ ે   ત ્ય ા ર ે   
351, આ જ ુ     છ ે   અ ન ે     
352, એ ક   લ ા ગ   છ ે   બ ર બ ર   ત ો   ત મ ા ર ા   ત ્ ય ા ં   જ ી ર ો   ડ ી પ ી મ ા ં   અ વ ે લ ે બ લ   હ શ ે   ક ે   પ છ ી   ક ઈ  ર ી ત ે   
353, આ છ ા   ક્ ર ે ડ િ ટ   ક ક થ ી   ક ે   પ છ ી   કે વી ર ી ત ે   છ ે   
354, મ ર ો ભ ા   
355, આ જ ા   
356, બ ર ો બ ર   અ ન ે   મ ા ર ે   ક ે વ ા   ફ ી   
357, ભ વ સ   
358, 
359, 
360, હ મ ા ી ી   
361, આ છ ા   છ   મ ન ન ે  વ ન ં ડ ી   છ ે   
362, બ ર બ ર   અ ન ે   આ ઈ ફ ન છ ે  અ ત ્યા ર ે   અ ધ ર   કો ઈ   ક ં પ ન ી   જ ણ વ ુ   ક ે   મ ે ર ા   ર િ ઝ લ ્ટ   વ ો સ   ક્વો લ િ ટ ી   સ ા ર ી   હ ો ય   અ ન ે   જ ે મ ા ં   પ ે સ   પ ણ   વ ધ ા ર ે   મ ળ ી   જ ત ી   હ ો ય   એ વ ો   ક ો ઈ   ત મ ાર   ધ્ય ા ન મા ં   ખ ર ી   
363, 
364, અ ત્યાર ે   ર િ ય લ   મ ી ન ું   વ ધ ા ર ે   સ ો ધ ી   ર ુ   છ ે   મ ા ર ્ ક ે   ત ો   બ ને મ ાં થ ી   ક ુ ં   વ ધ ા ર ે   સ ા ર ું   છ   
365, 
366, આ જ ા ો   
367, સ્ ટ ો ળ વ ી  જ   છ   
368,   ત ો   આ પ ણ ે   આ જ ે   ર િ ય લ   મ ી   અ ન ે   ત મ ે   વ ન ન ુ   ક ી ધ ુ ં     
369, હ ા   
370, ા   
371, ી   
372, બ ર ો બ ર   એ ટ લ ે   દ સ ર જ ા થ ી  સ   થ ત ી  હ શ ે   ન ે મ ાં   
373, બ ર ો બ ર   અ ન ે   એ મ ા   બ િ લ ો ન ન ી   પ્ર ો સ ે સ  જ િ ર ો ડ ી પ ી ન ી   બ ધ ુ ં   છ ે  અ ન ે  અ વ ે લ ે બ લ   
374,   
375, ભ ર ો બ ર સ ર સ   ત ો   અ ત્ યા ર ે  આ પ ણ ા  સ ્ પ ે શ લ ે   ચ ા લ ી  ર હ્ યુ ં  છ ે   
376,   
377, શ ો ત છ   સ ્ પ ે શ લ   પ ો ણ   ક ે   પ છ ી   કો ઈ   મ ે સ ે જ  ક ે વ ી  રી ત ે   ન ે   ક ર ો     
378, ત ો   અ ત ્ ય ા ર ે   જ ત ે વ ા ર   પ ર   ક ો ઈ  મ ન ે  સ ા ર ી   ઓ  હો ય   ત ો   મ ા ર ે  આ ઇ ફ ો ન   લ ે વ ુ   છ ે ો   ત ો   એ ન ી   મ ા ટ ે  ત મ ે   મ ન   મ ે સ ે જ   ક ર ી   શ ક ો   
379, હ ા આ જ મ ા ર ો  ન ં બ ર   છ ે   જ ો   મ ન ે   મ ે     ક ે વી  ર ી ત ે     ખ બ ર   પ ડ ે   અ ન ે  એ ન ી   સ ા થ ે   સ ા થ ે   શ ુ ં   એ ન ી   ડ િ સ ્ ક ા ઉ ન ટ   મ ન ે   શ ુ લ ા ભ   મ ળ શ ે   મ ન ે   એ   પ ણ   મ ન ે   સ ા થ ે  જ ા ણ વ ા   મ ળ ે  ત ો  વ ધ ા ર ે   સ ા ર ું   
380, હ મ ા ન ા  ડ ા મ ી   
381, ક ે   
382, ઓ ક ો ક ે   પ ા ક ક ુ  મ ન   થ ૅ ન ્ ક   ય ૂ   
383,હ લ ો   
384, બ ો લ ો   
385, ત ન ભ ા   
386, હ ા ક ું  અ મ ા ર ે   ક મ પ ્ લે ન  ક ે ર ી   
387, મ ર સ ન ા   ડ ી  ગ ો 
388, 
389, ન ા ન વ ત ે   જ ે મ ન ા ી ધ ો   બ ે   મ િ ન ા   
390, જ   
391, ર છ ે   
392, 
393, 
394,   
395, આ ે શ ુ   લ     
396, જ ્યા   ક ્ય ાર  લ ઈ ના વ છ ે   
397, ઇ લ ે ક ્ ટ ર   ક ર વા ન ી   
398, મ પ ા વ ર   
399, મ ે     
400, ત ુ   
401, 
402, ન ા ન ા વ ો   
403, ક ો ઈ   ર   
404,   
405, ન ા જ ા ન ા   ક ર ી ને   વ ત ી   
406,   
407, ન ા ન ુ   સ ા ે ે પ ં ખ ા   મ ા ટ   
408, 
409,   
410, 
411, ન ા ક ર જ ો ઈ એ   
412, જ ે   
413, ર પ િ ં ગ મ ત ે   
414, ત ા ે   
415, આ જ છ ુ   
416, ા ા ર ા   
417, 
418, ડ ો ક ્ ટ ર   ઓ એ ક ર   પ િ ન   ર ી   ન ે વ િ ય ા   મ ે ન   એ ક ્ ટ ક લ ી ન   સ ા વ ર   છ ે લ   અ ન ે   ડ ે લ   મ ન ્ ટ ે ન   ર ા ટ   બ ે ર ી   ન ી   આ ટ મ ્ સ ન ો   થ ો   બ દ લ ો   ક ા ર ણ   ક ે   હ ા લ ન ા   બ ચ ન ો   સ ્ ટ ો   ખ લ ા શ   થ ય ો   છ ે   
419, 
420, ઓ પ ા ં ત રી સ મ ા ં   ત ે ઓ એ   સ ફ ળ ત ા પૂ ર્વ ક   ત ે મ ન ા   બ ી ટ ન   ક પ ન ા   ખ િ ત ા બ ન ો   બ ચ ા વ   ક ર ્યું   હ ત ુ ં   જ ો ક ે   પ છ ી ન ા  વ ર્ ષ મ ાં  ત ે ઓ  હ ા ર ી  ગ ય ા   
421, શ ુ ં   હ ુ ં   ત પ ા સ ી   શ ક ું   ક ે   મ ા ર ો   ટ્ર ે ક િ ં ગ   આ ઈ ડ ી   એ ક   પ ા ચ   સ ા થ   છ   ન વ   આ થ   ત્ર ણ   પ ા ં ચ   ચ ા ર   છ   ધ ર ા વ ત ા   ઈ એ ફ   પ ી ઓ   દ ા વ ા ન ી   ચ ૂ ક વ ણ ી   થ ઈ   શ ે   
422, મ ો બ ી   ક ્ િ ક   ુ   ક ો ર ખ ો લ ો   અ ન ે   મ ા ર ી   ગ ે લ ે ર ી મ મ ા ં થ ી   પ હે લ ું   ચ િ ત ્ ર   સ ્ ક ે ન િ ં ગ   મ ા ટ ે   અ પ લ ો ડ   ક ર ો   
423, તે મ ાં થ ી   પ્ર થ મ   વ ર ્ ત મ ા ન   દ િ લ ્હ ી ન ા   દ ક ્ષ િ ણ   ભ ા ગ મ ાં  હ ત ી   
424, 
425, સ ા ત   સ ા ત   સ ા ત   બ ે   બ ે   આ ઠ   વ િ ન ક ો ર્ડ મ ા ં   મ ા ર ા   હ ા લ ન ા   સ ્ થ ા ન ન ી   સ ૌ થ ી   ન જ ી ક ન ો   ર શ ી   ક ે ન્દ ્ર   ક ર ણ   ક ે ન ્ દ ્ ર   મ ન ે   બ ત ા વ ો   
426, 
427, આ ઝ ા દ ી ન ા   આ ટ લ ા   વ ર્ ષ ો   પ છ ી   સ મ ા જ મ ા ં   સ્ ત ્રી ઓ ન ા   શ િ ક ્ ષ ણ   ર ો જ ગ ા ર ી   અ ન ે   સ ા મા જ િ ક   દ ર ા જ્જ ા ની   બ ા બ ત મા ં   ચ ો ક ્ ક સ  સ ુ ધ ા ર ો   આ વ ્ યો   છ ે   
428, આ જ ે   પ ણ   ઘ ણ ા   બ ધ ા  સ મ ા જ ો   મ સ્ત ્ ર ી ઓ ન ો   આ ગ વ ો   દ ર જ ્ જ ો   મ ળ ્ યો   છ ે   અ ન ે   સ્ત્ર ી   પ ુ ર ુ ષ   સ મ ૂ વ ડી   બ ન ી   દ ર ે ક  ક્ ષ ે ત ્ર મ ાં   પ ુ ર ુ ષ ન ા   ખ ભ ે થ ી   ખ બ ૂ   મ િ લ ા વ ી   પ ુ ર ુ ષ ન ે   પ ણ   પ છ ા ડ ી   ર હ ી   છ ે   
429, સ ર ક ા ર   પ ણ   સ્ત ્ રી   સ શ ક્ ત િ ક ર ણ   લ ી ં ગ   સ મ ા ન ત ા   ભ ે દ ભ ા વ   વ ગ ે ર ે   મ ા ટ ે ન ી   ય ો જ ન ા ઓ   અ ન ે   ક ા ય દ ા ઓ   બ ન ા વ ી  ર હ ી   છ ે   
430, ન ી   સ ુ ર ક ્ષ ા ને   લ ઈ ન ે   પ ણ   ગ ુ જ રા ત   સ ર ક ા ર   ઘ ણા   ક ા ય દ ા  બ ન ા વ ી ર હ ી  છ ે   એ ક સ ો   આ થ   અ ન ે   અ ભ ય મ   જ ે વ ી   હ ે લ ્ પ  લ ા ઇ ન   સ ે વ ા ઓ   શ ર ૂ   ક ર ી  ર હ ી   છ ે   જ ે  સ ્ ત ્ રી ઓ ન ે   ચ ો વ ી સ   ક લ ા ક   સ ે વ ા ઓ   આ પ વ ા  મ ા ટે   ત ૈ ય ા ર   છ ે   
431, હ જ ુ   પ ણ   ઘ ણ ા  એ વ ા   સ મ ા જ ો   છ ે   જ ો   સ્ ત ્ ર ી ઓ ન ે   ક મ જ ો ર   જ ો વ ા મ ાં  આ વ ે   છ ે   ઘ ર ક ા મ જ   ક ર વ ા ન ું   હ ો ય   સ ્ ત ્રી ઓ ય   એ વ ી   મ ા ન ્ય ત ા ઓ   સ ા થ ે   ઉ ચ્ ચ   શ િ ક્ ષ ણ   ર ો જ ગ ા ર ી   ન ા   મ ળ ી   ર હ ે   ત ે વ ી  ઘ ટ ન ા ઓ   સ ા મ ે   આ વ ે   છ ે   
432, ન ો ક ર ી ઓ મ ાં   પ ણ   શ ા ર ી ર િ ક   શ ો ષ ણ નો   ભ ો ગ   બ ન ાવ વ ા મ ા ં   આ વ ે   છ ે   ન ો ક ર ી ન ી   સ ા થ ે સ ા થ ે   ઘ ર ન ી   ત મ ા મ   જ વ ા બ દ ા ર ી ઓ   પ ણ   ્ ત ્રી ઓ એ  ન િ ભ ા વ વ ા ન ી   હ ો ય   છ ે   
433, આ ટ લ ા   પ ડ ક ા ર ો  વ ચ્ ચ ે   પ ણ   આ જ ન ી   શ ્ ર ી   શ ક ્ ત િ   સ ્વ રૂ પ  બ ન ી   સ મ ા જ મ ા ં   પ ો ત ા ન ી   આ ગ વ ી   ઓ ળ ખ  ઊ ભ ી   ક ર ી  ર હ ી   છ ે   
434, દ સ  હ જ ા ર   
435, હ ુ   પ ુ સ્ ત ક ો   
436, અ ગ લ ી   અ મ દ ા વ ા દ   ગ ા ં ધ ી પ ુ ર  ન ી ચ ે   ખ ર ી દ ુ ં   છ ું   અ ન ે   
437, એ ન વ ા   અ ન ે   ત ે મ જ  જ ુ ન ા   પ ુ સ્ ત ક ો   બ ન ્ ન ે ન ા   સ ્ટ ો ર   હ ો ય   છ ે   અ ન ે   આ પ ણ ન ે   મ ન ગ મ ત ા   અ થ વ ા   ત ો   ક ો ઈ   પ ણ   પ ુ સ્ ત ક   જ ો ઈ ત ું   હો ય   ત ો   એ ક  જ  જ ગ્યા એ   એ ક   સ ્ થ ળ ે થ ી   આ પ ન ે   પ ્ ર ા પ ્ત   થ ા ય   છ ે   એ   મ ા ટ ે   હ ું   આ   પ ુ સ ્ ત ક   સ ો ન ો   ઉ પ ય ો ગ   ક ર વો   છ ો   
438, પ ો ઝ િ ટ િ વ   એ ક ્ સ પ િ ર િ અન ્ સ   એ   હ ત ો   હ ે ડ   મ ા ટ ે   અ ન ે   એ વ ી   ઓ ઇ લ   મ ા ટ ે   એ મ ા ં   પ ે ર ા શ ૂ ટ   એ લ ર ા ન ુ   જ ા સ મ ી ન ુ   ત ે   લ ા વ ે   છ ે   જ ે   ઓ ઇ લ   જ ે   ઓ લ થ ી   આ પ ણ ા   મ ા   વ ા ળ   સ િ લ ક ી   પ ણ   ર હ ે   છ ે   અ ન ે   ઓ ન ા   ન ા ખ ્ ય ું  હો ય   એ વ ું લ ા ગ ે   છ ે   ક ે   વ ા ળ ક ો ર ા   હ ો ય એ વ ું લ ા ગ ે  છ ે   અ ન ે   વ ા ળ વ ો   મ સ િ લ ક ી  ર ે   છ ે   
439, હ ો ં   ક ો ં મ ા ં   ક ે ટ લ ા   વ ા ગ ્ય ા   છ ે   
440, જ ્ યા ર   એ ક   ક ં પ ન ી મ ાં   ન ો ક ર ી   મ ા ટ ે   જ ો ડ ા ય ુ   ્યા ર ે   અ મ ા ર ી   જ ે   દ સ ત ન ી   ટ ુ ક ડ ી   હ ત ી   ત ્યા ર ે   અ મ ે   એ ક   ક ા ર ્ ય   આ પ ્ ય ું  હ ત ુ ં   ત ે   પ ્ર ો જ ે ક ્ટ   ે  ઓ ફ િ સ મ ા ં થ ી   આ વ ્ યું હ ત ું   ત ્યા ન ે   અ મ ા રે   ફ ક ્ ત   અ ઠ વ ા ડ િ ય ા મા ં   પ ૂ ર ો   ક ર વ ા ન ું  હત ો   
441, લ ા ઈન મા ં   ન   હ ત ો   અ ન ે   મ ન ે   ક ે   ક ા મ મ ા ં  એ ટ લ ો   અ ન ુ ભ વ   પ ણ   હો ત ો   જ ે થ ી   ક ર ી ને   ક ા મ ને   પ ા ર   પ ણ વ ા   ઘ ણ ી   અ ર ણ   આ વ ત ી   હ ત ી   
442, અ મ ા ર ી   સ ન ે   આ   ક ા ર ્ ય   પ ૂ ર ું   ક ર્ યા   પ છ ી   અ મ ે   વ ર ્ ત ળ   મ ળ વ ા ન ુ ં હ ત ુ ં   ત્ય ા ર ે   અ મ ર ે   વ ધ ા ર ા ન ુ   ટ ા ઈ મ   ક ા ર ્ ય ા લ ય મ ાં   બ ે સ ી ન ે   ક ા મ   પ ૂ ર ું   ક ર ત ા   
443, ઘ ણ ી વ ા ર   ત ો   ઘ ર ે થ ી   પ ણ   અ મ ે   બ ૂ લ ી   પ ડ થ ી   આ થ ી   ફ ર ન ે   અ મ ે ત ે   ક ા મ   આ ખ ો   દ સ વ ય સ ્ ત   ર હે ત ા   અ ન ે   ખ ા ન   ણ ા ઈ મ   હ ત ો   
444, ક ા ર ણ   ક ે   દ િ વ સ   ઉ છ ા હ ત ા   અ ન ે   લ ો ક ો   અ ન ે   ક ા મ   ત ક ા મ ન ે   પ ૂ ર ું   પ ા ડ વ ા   મ ા ટ ે   અ સ ક ્ષ મ   હ ત ા   છ ત ાં   અ મ ે   ખ ૂ બ  જ   મ હ ે ન ત   ક ર ી ન ે   ત ે   ક ા મ   સ ફ ળ ત ા પ ૂ ર ્વ ક   પ ૂ ર ું   પ ા ડ ી   
445, ત ા ર વ ા ડ   જ િ લ્લ ા મ ા ં   મ ા ર ા   હ ા લ ન ા   સ્ થ ા ન થ ી   સ ૌ થ ી   ન જ ી ક ન ા   મ ે ડ િ ક લ   સ ્ ટ ો ર   વ િ શ ે   હું   જ ા ણ ી   શ ક ુ ં   
446, છ ે   પ ા ં ચ   ન ં બ ર   જ ે મ ન ે   ય ા દ   છ ે   ત ે   
447, શ   
448,ક ઠ ા ણ   એ ક જ ા ન ી   
449, ત ્ર ણ  હ જ ા ર   ચ ા ર   સ ો ન ે   ે ન ે   
450, સ ૌ થ ી   પ ્ ર િ ય   ન ે   ર સ પ ્ર દ સ ્ થ ળ ન ી   મ ુ લ ા ક ા ત  હ ો ય   ત ો   ત ે   ગ ો વ ા   છ ે   
451, ક ે મ   ક ે   ગ ો વ ા એ   અ ત ્ય ં ત   સ ુ ં દ ર  અ ન ે   સ ૌ દ ર ્ય   જ ન ક   વ ા ત ા વ રણ મ ા ં   આ વ ે લ ુ ં   
452, શ હ ે ર   છ ે   જ ે મ ા ં   ત મ ે   ઔ ય ો ગ ્ય   પ ર ્ ય ા વ ર ણ   
453,અ ન ે   વ ા ત ા વ ર ણ   પ ણ   ખ ૂ બ   સ ુ ં દ ર ્ય   છ ે   ત ે મ ં   જ   ત ્ ય ા ં   લ   અ લ ગ   દ ર િ ય ા ક ા ં ઠ ે   દ ર ય ન   બ ી ચ ા વ ે લ ા   છ ે   ત ે   પ ણ   સ ુ ં દ ર ણ ે  ર મ ણ ી ય ા   ન જ ા ર ો   ત ા ર ો   જ ો વ ા   જ ો વ ો   છ ે   
454, જ ો   ત મ ે   ત ય ા ં   ફ ર વ ા જ ા નુ ં   પ સ ં દ   ક ર ો   ત ો   ઓ છ ા મ ાં   ઓ છ ા ચ ા થ ી   પ ા ં ચ   દ િ વ સ   ન ે ન ે   ત યાં   જ વ ું   પ ડ ે   અ ન ે   ત ે ન ે   જ ે   સ ર ક ા ર ન ી  વ્ય વ સ ્ થ ા   છ ે   સ ુ શ ા સ ન   છ ે   ત ે   પ ણ   ત ે મ ન ા   પ ણ  ય ો ગ ્ય   ની ત િ ન ન િ ય મ ો   અ ન ે   પ ા લ ન   પ ણ   ત ે ન ા   લ ો ક ો   ક ર ત ા   હ ો ય   છ ે   
455, અ મ ે   જ ો વ ા   જ ઈ એ   ત ો     ર ા ત ્ ર િ ન ો   ન જ ા ર ો   છ ે  એ ક દ મ   જ ે   લ ા ઇ ટ િ ં ગ   છ ે   ય ો ગ ્ ય   પ્ર ક ા ર ે   ત ે ન ો   મ ા હ ો લ   છ ે   ત ો   ખ ૂ બ   જ   ન જ ર  એ ક દ મ   ખ ૂ બ   જ ો વ ા લ ા ય ક   અ ન ે   ર સ પ્ર દ   છ ે   
456, અ ન ે   જ ો ઈ એ   ો   ત ્યા ં ન ા   બ ા ગ ા બ ી   ે   ક ે ન ્ ડ ર   ક ે ન ડ ી ક ળ   બ ે   છ ે   એ   પ ણ   ય ો ગ ય   મ સ ્ ત ા   મ જ  આ વ ે ત યા   ફ ર વ ા  જ ્ ય ા   છ ે   
457, અ ન ે   ત ્ય ા ં   દ ૂ ધ સ ા ગ ર   ન ી   વ ા ત  ક ર ી   ત ો   દ ૂ ધ સ ા ગ ર   ધ ો ધ   પ ણ   સ ુ ં દ ર   મ ણ ય ર ી ત ે   પ ર ત ી  ન ી ચ ે   પ ડ ે   છ ે   જ ્ ય ા ં  અ લ ગ   અ લ ગ   હ િ ન ્ દ ી   
458, ફ િ લ્ મ ો ન ી   શ ૂ ટ િ ંગ પ ણ   થ ા ય   છ ે   અ ન ે   ત ે ન ા   સ િ વ ા ય   જ ો ઈ એ   ત ો   ત ેા ન ો   ક શ ી ન ો     ક ે વ ા ય   
459, પ ણ   ખ ૂ બ  જ  પ્ર ચ લ િ ત   છ ે   એ મ ા   ડ ે લ ્ ટ ી   વ લ ુ   છ ે   
460, મ ે ર ે સ્ ટ િ   ટ ્ર ા ય ડ   છ ે   ત ે   ગ ો વ ા   સ ૈ ન ા  ખ ૂ બ  જ  પ ્ર ખ ્ય ા ત   ક સ ી ન ો   છ ે   
461, ક ય ા   એ મ ન   ન વ ા છ ી   
462, ર ૃ પ િ ય ા   ર સ ી   ક ર ણ   પ્ર મ ા ણ પ ત ્ર   ડ ા ઉન લ ો ડ   ક ર વ ા   મ ા ટ ે   ફ ો ન   ન ં બ ર   એ   સ ે વ ન   વ ન   વ ન વ ન ન   ધ ર ા વ ત ા   લ ા ભ ા ર ્ ત ી ન ું   ન ા મ   પ સ ં દ   ક ર ો   
463, મ ા ર ે   એ ડ ી બ લ   ઑ ઇ લ   આ ઇ ટ મ ્ સ ન ો   અ ં દ ા જ ી ત   ડ િ લ ી વ ર ી   સ મ ય   ચ ે ક   ક ર વ ો   છ ે   
