id,ref
984,அதே மாரி உங்க மொபைல்ல சார்ஜ் இல்ல சப்போஸ் இதாயிடுச்சி அப்டின்னா ஒடனே நீங்க இதுலயே ப நம்ம எலெக்ட்ரிக்கல் பைக்லே சார்ஜ் போட்டுக்கலாம்
985,ப்ரைஸ் பாத்தீங்கன்னா சார் அறுவதாயிரத்துல டூ அறுவத்தையாயிரம் ஆகும் சார்
986,ஆ இஎம்ஐ இருக்கு சார் இப்ப இன்ஸ்டன்ட் பேமெண்ட்டா நீங்க வந்து இருவத்தையாயிரம் கட்டிட்டு இஎம்ஐல போட்டுக்கலாம் சார் நீங்க
987,நீங்க மந்த்லி மந்த்லி ஃபீஸ் பே பே பண்ற மாரி இருக்கும் சார்
988,ஆ மாசம் வந்து மூவாயிரம் ஆ அப்டிக்கா மூவாயிரம் டூ ஐயாயிரம் அப்டி கட்ற மாரி இருக்கும் சார்
989,ஆ கேரண்ட்டி பாத்தீங்கன்னா ஒன் இயர்தான் சார் கேரண்ட்டி
990,இல்ல இல்ல ஒவ் ம டோட்டலாவே உங்களுக்கு எந்த ஃபால்ட் ஆச்சின்னா ஒன் இயர் எதுவா இருந்தாலும் கம்பெனி நாளைக்கி எதுனாலும் பொறுப்பு ஏத்துக்கும்
991,சேரி ஓகேங்க சார் வாங்க சார் நம்ம பண்ணிக்கிலாம் சார் நெக்ஸ்ட் வீக் வாங்க சார் பண்ணிக்கிலாம்
992,ஆ ஓகே சார் போய்ட்டு வாங்க சார்
993,ஆந்திரப்பிரதேஷ் கேரளா கர்நாட்டக்கா மத்தியப்பிரதேஷ் குஜராத்
994,டிவி மற்றும் இணையம் ஓய்வு பெற்றவர்களுக்கும் முதியவர்களுக்கும் ரொம்ப பயனுள்ளதாகவே இருக்கு ஏனா அவங்க நெறைய விஷியங்கள
995,டிவிய பாத்து தெரிஞ்சிக்கிறாங்க சில விஷியங்கள் தெரியாததக்கூட இணையத்தளத்த பாத்து தெரிஞ்சிக்கிறாங்க அவுங்களுக்கு பொழுதுப்போக்கா இணையத்தளம் இருக்கு அத தவிர்த்து அவங்க நல்ல நல்ல விஷியங்கள தெரிஞ்சிக்கிறாங்க இன்னும் அவங்க
996,அவங்களுக்கு தெரியாத பல நியூஸ வந்து தெரிஞ்சிக்கிறாங்க திரைகளை பாக்குறாங்க நெறைய படம்
997,புதுப்புது பாட்டுகள கேக்குறாங்க பழைய பாட்ட கேட்டு ரசிக்கிறாங்க அவங்க நேரத்த கடத்த இன்னும் நெறையா கத்துக்குறாங்க அவங்களுக்கு தெரியாத விஷியங்கள
998,இணையத்துல போட்டு இன்னும் தெரிஞ்சிக்கிறாங்க இணையத்துல அவங்க தேடிப்பாக்குறாங்க
999,இன்னும் என்னன்ன கத்துக்கணுன்ட்டு சில முதியவர்கள் ஏதாவது புதிதா சமைக்கணுன்றதுக்காக அவங்க
1000,செய்யிறதெல்லாம் இணையத்துல பதிவிட்றாங்க அதப்பாத்து நெறைய சிறியவர்கள் கத்துக்குறாங்க இது இணையம் ரொம்ப பயனுள்ளதாக இருக்கு பெற்றவர்களுக்கு மட்டும் அல்ல முதியவர்களுக்கும்
1001,தொலைவில் உள்ள
1002,பலைய புத்தகம் தான் நானு நெறைய புஸ்தகம் படிச்சிக்கிட்டே இருப்பேன் அதுல நான் படிச்சது எதுனா திலகவதி என்ற ஐபிஎஸ் எழுதுன எழுத்தாளர் அவுங்க அவுங்க வந்து
1003,மிகப் பெரிய எழுத்தாளர் அவுங்க எழுதுன கள்மரம்ன்னு ஒரு நாவல் படிச்சிருக்குறேன் அது என்னன்னு கேட்டீங்கன்னா கட்டட தொழிலாளிகள்லாம் அவுங்க படுற கஸ்டங்கள்
1004,அவுங்க எந்த மாரிலாம் வந்து வால்ந்துட்ருக்குறாங்க டெய்லி அவுங்க வேலைக்கு போறாங்கன்னா அதுல எவ்ளோ பிரச்சனைகள சந்திச்சிட்ருக்குறாங்கன்னு இந்த மாரி
1005,நெறைய அதுல போட்ருந்துது அந்த நாவல நான் படிச்சேன் அதுக்கப்பறம் நான் படிச்சது என்னன்னு கேட்டீங்கன்னா இலக்கியத்துல நெறைய நாவல்கள்லாம் படிச்சிருக்குறேன் ராஜேஷ் குமார் நாவல்கள்லாம் படிச்சிருக்குறேன்
1006,அப்பறம் இந்த ஜெயகாந்தன் எழுதிய சில நேரத்தில் சில மனிதர்கள்ன்னு ஒரு நாவல் படிச்சேன் அந்த நாவல் என்னான்னு கேட்டீங்கன்னா அதுல வந்து ஒரு பொண்ணு வந்து ராத்திரி வேலைக்கு போயிட்டு வரும் போது யாரோ ஒரு எக்ஸ் ஆர் ஒய்யி
1007,அவுங்க மூலியமா அவன் கெடுத்துட்றான் அதுக்கப்பறம் அவ வந்து அவ ஒரு பிராமின் குடும்பத்த சேந்த பொண்ணுன்றதுனால அவ வந்து அவுங்க அம்மா அப்பாட்ட போய் சொன்னோன்ன அவுங்க அம்மா எல்லார்ட்டையும் தெரிவிச்சி அவள வீட்ட உட்டு
1008,அனுப்பிட்றாங்க ஒத்த பொம்பளையா இருந்து அந்த பொண்ணு போராடி அதுக்கப்பறம் மிகப் பெரிய போஸ்டிங்ல போயி அந்த கெடுத்தவன கண்டுபுடிச்சி
1009,திரும்ப ஒரு நல்ல ஒரு வால்க்கைய அமைச்சிக்கணுன்னு சொல்றாங்க எல்லாருமே ஆனா அவ என்னா பண்றா தனியா இருந்த மாரி நான் கடைசி வரைக்கும் இருப்பேன்
1010,எனக்கு யாரு துணையும் வேண்டாம் அப்டின்னு சொல்லிட்டு அவ அதேமாரியே தனியாவே இருந்து முன்னேறியிருக்குறா இந்த மாரி நெறைய
1011,இலக்கியத்துல நான் படிச்சதெல்லாம் இருக்குது எனக்கு மிகப் புடிச்ச இலக்கியம் என்னன்னு கேட்டீங்கன்னா சிலப்பதிகாரம் சிலப்பதிகாரத்துல பாத்தீங்கன்னா இப்பியும் சொல்லுவாங்க கோவலனோட மனைவி
1012,எவ்ளோ ஒரு வீரமான பெண்மணியா இருந்தாங்கன்னு அவுங்க ரெண்டுப் பேருமே அவ்ளோ வசதியானங்க இருந்தாங்க அந்த வசதிய எப்படி நம்ப தெரிஞ்சிக்கிறோம்னு சொன்னோம்னா கோவலனோட
1013,மனைவி கண்ணகி கால் சிலம்புல என்னா இருக்கும்னு கேட்டீங்கன்னா மாணிக்க பரல்கள் அதே பாண்டிய மன்னனோட மனைவி
1014,கால் சிலம்பு என்னன்னு கேட்டீங்கன்னா முத்து பரல்கள் இது ரெண்டுமே எது வந்து உயர்ந்ததுன்னு கேட்டோம்னா மாணிக்கம் தான் உயர்ந்தது அந்தக் காலத்துலயே இலக்கியத்துலயே சொல்லிருக்குறாங்க மன்னர விட
1015,கோவலன் கண்ணகியோட குடும்பம் மிகப் பெரிய வசதியா இருந்துருக்குறாங்க அந்த வசதிக்கு எடுத்துக்காட்டு என்னான்னு கேட்டோம்னா அது கண்ணகியோட கால் சிலம்பு தான் அந்தக் காலத்துல நெறையா நவரத்தினங்கள் நெறையா பொன்னு மணி பவளம் முத்து
1016,கோமேதகம் வைரம் இந்த மாரி பல விஷியத்த நெறையா மணிகள்லாம் சொல்லிருக்குறாங்க அதே சமயம் இலக்கியத்துல இருக்குற மணிகன்னு பாத்தா இலக்கியத்துல மணிகள்னு நம்ம நெறையா பாத்தோம்ன்னா சங்கு மணி சுடு மண் மணி
1017,மண்ணு மணல் மரத்துல செஞ்சது இப்ப சங்குனு எடுத்துக்கிட்டிங்கன்னா வெண் சங்குனு சொல்லுவோம் அந்த சங்குல நெறையா மணி செஞ்சிருக்குறாங்க சீப்பு செஞ்சிருக்குறாங்கன்னு இலக்கியத்துல தெரிஞ்சிக்கலாம் சுடு மணின்னா என்னா அர்த்தம்ன்னு கேட்டோம்ன்னா மணிய வந்து
1018,மண்ண வந்து சின்ன சின்னதா ஒரு உருண்டையா எடுத்து அத வந்து வெயில்ல காய வச்சி அதுக்கப்பறமா அத
1019,நெருப்புல வாட்டி கலுத்துல ஒரு ஊசிய வச்சி கோத்து நூல் போட்டு கோத்து அதுக்கப்பறம் கலுத்துல போட்ருக்குறாங்க பழங்காலத்துல ஏகப்பட்ட அணிகலன்கள்
1020,அதாவது நகைகள்ன்னு சொல்லலாம் அந்த மாரி ஏகப்பட்ட அணிகலன்கள அந்தக் காலத்துல நெறையா பன்ப பயன்படுத்திருக்குறாங்க நம்ம நெனச்சிட்ருக்குறோம்
1021,இப்ப தான் நெறையா நகைங்கள போட்டுட்ருக்குறாங்கன்னு பழங்காலத்துலயே நெறையா நகைங்கள எல்லாருமே பயன்படுத்திருக்குறாங்கன்னு மக்கள் தெரிஞ்சிருக்குது
1022,ஏன் ஸ்கூல் லைஃப் வந்து ரொம்ப ஜாலியா இருந்துச்சி நான் வந்து ஸ்கூலுக்கு வந்து எப்பவுமே வந்து லேட்டா தான் போவேன் லேட்டா போயிட்டு வந்து எங்க பிரின்ஸ்பல்கிட்ட வந்து நான் எப்பவுமே திட்டு வாங்கிட்டுதான் இருப்பேன் ஏன் ப்ரின்ஸ்பல் வந்து என்ன வந்து நல்லா
1023,காரி துப்புவாங்க ஏன் இப்டி லேட்டா வர ரெண்டாயிரத்தி ஐநூறு பிள்ளைங்க படிக்கறதுல நீ மட்டுந்தான் லேட்டா வர அப்டின்னு வந்து சொல்லுவாங்க பாதிநாள் நான் வந்து ஸ்கூலுக்கே போ மாட்டேன்
1024,எனக்கு வந்து ரொம்ப புடிக்கும் ஸ்கூல் லைஃப் வந்து ரொம்ப புடிச்சிருந்துச்சி நான் ஏன் ஃபிரண்ட்ஸ மிஸ் பண்றேன் முக்கியமா ஏன் டென்த் லைஃப் வந்து ரொம்ப ஜாலியா இருந்துச்சி ஏன் டென்த் லைஃப் வந்து மறக்கவே முடியாது கோ எட் ஸ்கூலு அவ்ளோ சந்தோஷமா இருப்போனு நெனச்சு கூட நான் பாக்கவே இல்ல
1025,என்னோட டென்த் லைஃப்ல வந்து பசங்களோட ஃபிரண்ட் கேர்ள்ஸோட வந்து நான் ரொம்ப சந்தோஷமா இருந்தேன்
1026,ஈவினிங் கிளாஸு அப்டின்னு சொல்லிட்டு அப்புறம் பாரதி மிஸ் என்ன எப்ப பாத்தாலும் திட்டிக்கிட்டே இருக்கும் காலையில ஸ்கூலுக்கு வரும்போது மார்னிங் கிளாஸ் வரும்போது பாரதி மிஸ்தான் இருப்பாங்க
1027,பாரதி மிஸ் வந்து என்ன வந்து நான் எப்பவுமே லேட்டா தான் வருவேன் என்ன புடிச்சிட்டு தரதரன்னு இழுத்துட்டு போய் ஏ கிளாஸ்ல வந்து உக்கார வச்சிடுவாங்க
1028,அப்றம் நான் வந்து நான் வந்தனாலே எல்லாரும் என்ன திரும்பி பாப்பாங்க எப்பவுமே லேட்டா வந்ட்டு வெளியவேதான் உக்காந்துருப்பேன் ஃபிரண்ட்ஸ்லாம் எல்லாருமே என்ன எப்பவுமே பாத்து சிரிச்சிட்டே இருப்பாங்க தல ஒரு சில நாள் ஸ்கூலுக்கு வந்து லூஸ் மாரி தல கூட வாராம அப்டியே ஓடுவேன்
1029,ஸ்கூல்ல போய் ஃபிரண்ட்ஸ்கிட்ட தான் தல வாருவேன் அப்றம் ஃபுட்டு ஷேர் பண்ணிக்கறது எப்பவுமே எனக்கு மதியானம் வந்து
1030,லஞ்ச் வந்து எங்க அண்ணன் எடுத்துட்டு வந்து குடுத்துருவாங்க சூடா சுட சுட வந்து எனக்கு வீட்லேந்து சாப்பாடு வந்துரும்
1031,ஜாலியா ஃபிரண்ட்ஸோட வந்து சாப்ட்டுட்டு ரொம்ப ஜாலியா இருந்துச்சு டென்த் லைஃப்பு பசங்களோட பாட்டு பாடுறது
1032,அப்றம் மிஸ்ஸுங்களோட ஜாலியா இருக்கறது எல்லா மிஸ்ஸும் என்ன வந்து திட்டிக்கிட்டே இருப்பாங்க அப்பறம் லெவன்த்ல வந்து நான் ஸ்கூலுக்கே போல கொரோனா வந்துருச்சி கொரோனா வந்ததுனால அப்றம் ஒரு சில பிரச்சனையால நான் ஸ்கூலுக்கே போல ஸ்கூலுக்கு போயும் வந்து அங்கயும் லெவன்த்தும் ஜாலியா இருந்துச்சி லெவன்த்தும் நான் வந்து மறக்கவே மாட்டேன் லெவன்த்துக்கு அப்பறம் வந்து அப்பா
1033,டுவெலத் வந்துச்சு விமல் சார்ட்ட ஏங்கப்பா எவ்ளோ திட்டு விமல் சார் வந்து நான் பயங்கரமா என்ன திட்டிட்டே இருப்பாரு கெமிஸ்ட்ரி சாரு நீ வந்து மூன்று தேவிகள் மூதேவி
1034,நீலாம் எதுக்கு ஸ்கூலுக்கு வர டிசி வாங்கிட்டு ஓடிடு என்னென்னமோ திட்டுனாங்க அதெல்லாம் இப்ப நெனைக்கும் போது ரொம்ப சந்தோஷமா இருக்கு நான் ரொம்ப மிஸ் பண்றேன் ஏன் ஸ்கூல் லைஃப்ப திரும்பவும் கெடைக்காதா அப்டின்னு சொல்லிட்டு நெனைச்சிட்ருக்கேன்
1035,இன்னொரு ஒரு சாமி ஸ்கூல்ல படிச்சப்ப அது ரொம்ப ஜெயில் மாரி இருந்துச்சு அப்பறம் நான் ஸ்கூல்ல படிக்கும் போது ரொம்ப
1036,ஜாலியா இருந்துச்சு இன்னும் வந்து நான் அங்க சிக்ஸ்த்துலேந்து படிக்கக் கூடாதா அப்டின்ற ஒரு ஏக்கம் வந்து எனக்கு இருந்துட்டுதான் இருக்கு உண்மையாவே நான் ரொம்ப மிஸ் பண்றேன்
1037,ஸ்கூல் லைஃப் மாரி எந்த லைஃப்மே கெடையாது நான் இப்ப ஃபீல் பண்றேன் ஏன்டா இத்தன் நாள் லீவ் போட்டோம் டெய்லிக்கும் ஸ்கூல்க்கு போயிருக்கலாமேனு ஏன்னா முக்கியமான அந்த ஜாலியா இருக்கற நேரத்துல நான் எப்ப போலையோ அப்பதான் வந்து
1038,எல்லாமே சந்தோஷமா இருந்துருப்பாங்க அடுத்த நாள் இத கேக்கும்போது ரொம்ப கடுப்பா வரும் ரொம்ப மிஸ் பண்றேன் ஸ்கூல் லைஃப் மாரி எந்த லைஃப்மே இல்ல காலேஜ் லைஃப் கூட கெடையாது
1039,எனக்கு அவ்ளோ புடிச்சிருக்கு ஸ்கூல் லைஃப்பு திரும்பவும் நான் அமல்ராஜ்க்கு வந்து யூனிஃபார்ம் போட்டுட்டு போயிட்ணும் போல ஆசையா இருக்கு
1040,எப்ப வந்து அந்த நாள் வரும் வரவே அது வராது வந்துச்சின்னா ரொம்ப சந்தோஷமா இருக்கும் ஆன்வல் டே அப்பலாம் வந்து ரொம்ப ஜாலியா இருந்துச்சு ஆன்வல் டே அப்ப
1041,அப்பறம் சில்ட்ரென்ஸ் டே அப்ப அப்பா அதுவும் ரொம்ப ஜாலியா இருந்துச்சி சில்ட்ரென்ஸ் டே அப்பறம் பர்த் டே ஐயோ நெறைய விஷயங்கள் நடந்திருக்கு அதெல்லாம் மறக்கவே முடியாது ஸ்கூல் லைஃப்ல மறக்க மறக்க முடியாத அளவுக்கு ஏன் ஸ்கூல் லைஃப் வந்து இருந்துருக்கு
1042,டுவெல்த்துலலாம் வந்து நல்ல ஜாலியா இருந்துச்சி நெறையா நடந்துச்சி சொல்லவே முடியாது ஒரு சில விஷயத்தலாம் அப்றம் ஃபிரண்ட்ஸ் கூட வந்து ஜாலியா இருந்துட்டு ஜாலியா பேசிட்டு
1043,ஃபேர்வெல் மட்டும் நடக்கவே இல்ல அதுதான் வந்து ரொம்ப மனசு கஷ்டமா இருந்துச்சு ஃபேர்வெல் பார்ட்டி மட்டும் நடந்திருந்துச்சினா உண்மையா ரொம்ப பெஸ்ட்டா இருந்திருக்கும் செம என்ஜாய்மெண்ட் பண்ணிருப்போம் அந்த ஒரு இது நடக்கல ரொம்ப இன்னே வரைக்குமே அத நெனைக்கும் போது மனசு கஷ்டமா இருக்கு ஃபேர்வெல் நடக்காதது ஃபேர்வெல் நடந்துச்சுன்னா உண்மையாவே ரொம்ப சந்தோஷப்பட்ருப்பேன்
1044,ஃபேர்வெல்க்கு டிரஸ்லாம் வந்து பண் வாங்கி அது வந்து குடுக்கவே இல்ல எங்க ப்ரின்ஸ்பல் வந்து எங்கள ஏமாத்திட்டாங்க ஃபேர்வெல் நடக்கக்கூடாது அப்டின்னு சொல்ட்டாங்க இல்லன்னா வந்து ஃபேர்வெல் வந்து நடந்துருக்கும்
1045,ஸ்கூல் லைஃப்ப வந்து ரொம்ப மிஸ் பண்றேன்
1046,நான் வந்து நிதி சார்ந்த சில விஷியங்கள எப்டி நடக்குதுனு தெரிஞ்சிக்க நல்லா ஆர்வப்படுவேன் அந்த அரசாங்கத்துக்கு எப்படி பணம் வருது அந்த பணத்த எப்படி அவுங்க மக்களுக்குலாம் பிரிச்சி குடுக்குறாங்க எந்த நம்ம டேக்ஸ் கட்டுற மூலியமா அவங்களுக்கு எ எவ்ளோ எவ்ளோ பணம் வருது அத எந்தந்த
1047,துறைகளுலலாம் அவுங்க பிரிச்சி குடுக்குறாங்க அதுக்கு வேல பாக்குற எத்தன பேரு இருப்பாங்க
1048,நம்ம நெறையா வகைல நம்ம டேக்ஸ் கட்றோம் வாட்டர் டேக்ஸ்ஸு வீட்டு வரி அந்த மாதிரி நெறையா கட்றோம்
1049,இதுல எந்த வகையில உள்ள டேக்ஸ் எல்லாம் அவுங்க எப்டி வந்து ஒரு சேர ஆ ஆ ஆர்கனைஸ் பண்ணி எந்த வகையில
1050,அது மக்களுக்கு குடுக்குறாங்கன்னு தெரிஞ்சிக்கிறதுக்கு ரொம்ப ஆர்வ ப ஆர்வமா இருக்குறேன்
1051,பங்குச்சந்தைய பத் பங்குச்சந்தைய நான் பின் தொடரல எனக்கு அத பத்தின முலு அபிப்ராயம் இல்ல பங்குச்சந்தை ஆனா அத பத்தி கொஞ்சம் தெரியும் அது எப்டின்னா
1052,நம்ம போட்ற காசு வந்து செல சமயம் உயரும் உயர்ந்தா நமக்கு அதிகளவுல காஸ் கெடைக்கும்
1053,ஆனா செல சமயம் ரொம்ப கம்மியா ஆயிட்டுன்னா நம்ம போட்ற காசே நமக்கு எலக்குற ரேஞ்சிக்கு ஆயிரும்
1054,அந்த மாதிரி பங்குச் சந்தைய பத்தி கொஞ்சம் தெரியும் ஓரளவு தெரியும் ஆனா நான் வந்து பங்குச் சந்தைய பின் தொடரக்கூடிய ஆள் இல்ல அவ்ளோதான்
1055,ரூ அறுவதாயிரம் ஷிப் கட்டணத்தை மாதந்தோறும் ஓலா மனி மூலம் செலுத்த அங்கீகாரம் அளிக்கவும்
1056,எனக்கு எலுதுறனா ரொம்ப புடிக்கும் அதுல பயிற்சி வகுப்புகள்ல்லாம் நடத்துவாங்க அதுல வந்து நா எலுதுறேன் என்னையத்தான் சொல்லுவாங்க செந்தாமரை நீ ரிப்போர்ட்டு குடுத்துரு
1057,அப்டின்னு சொல்லுவாங்க அப்ப வந்து நானு காலைலருந்து என்னென்ன நடக்குதோ ஒவ்வொன்னு ஒவ்வொரு இதையுமே
1058,அத கவனிச்சி உள்வாங்கி அதை நான் எலுதுவேன் அதாவுது காலைல எத்தன மணிக்கு ஆரம்பிக்கிறாங்க என்ன கெலம
1059,எந் எந்த இது வெச்சி ஆரம்பிக்கிறாங்க அப்டின்னு ஒவ்வொன்னவுமே
1060,கரெக்டா டைமிங் போட்டு நா எலுதுவேன் அது வந்து எல்லாமே பரவால்ல செந்தாமர நல்லா எலுதிருக்காப்டி அப்டின்னு தான் சொல்லுவாங்க எப்போமே நா எந்த ஒரு பயிற்சி எந்த ஒரு மீட்டிங்கோ எந்த ஒரு இதுக்கு போனலுமே
1061,நான் எலுத ஆரம்மிச்சிருவேன் நான் எலுதிட்டே இருப்பேன் ஒவ்வொருத்தரு நான் எலுதுறத பாத்துட்டு ஆரம்மிச்சிட்டா எலுத ஆரம்மிச்சிட்டா அப்டின்னு சொல்லுவாங்க
1062,ஒவ்வொரு வாக்கியத்தியுமே நான் உள்வாங்கி எலுதுவேன் எனக்கு எலுதுறதுனா ரொம்ப புடிக்கும்
1063,அதாவுது ஒவ்வொரு சொல்லும்போதும் டக்குடக்குன்னு எலுதணும் அந்த டைமிங் பாத்து எலுதி முடிக்கோணும் ஒரு வாக்கியத்தையுமு நம்ம உள்வாங்கி நம்ப எலுதும்போது
1064,அந்த ரிபோர்ட்டு பாக்கும்போது மனசுக்கே ஒரு சந்தோசமா இருக்கு நம்ப இதை செஞ்சோம் இந்த வெளையாட்டு சொல்லி குடுத்தாங்க இந்த மாதிர ரவுண்டா உக்கார வெச்சி நா இது பா ஒரு கேம்மு இது விளையாட்ற
1065,இது எலுத்துக்கள் மூலமா சொல்லிக்குடுத்தாங்க அப்டின்னு ஒவ்வொன்னையுமே நானு யோசிச்சு யோசிச்சி எலுதம்போது
1066,மத்தவிங்க பாக்கும்போது பரவால்லையே ஒன்னுக்கூட உடாம சார் குடுத்த பயிற்சியில ஒன்னுக்கூட விடாம நீ எலுதிக் குடுத்துருக்குற பரவால்ல நல்லா எலுதியிருக்குற அப்டின்னு தான் சொல்லுவாங்கள ஒலிய
1067,இல்ல தப்பா எலுதிட்ட அப்டின்னு சொல்ல மாட்டாங்க நல்லா எலுதி யாரார்ட்ட ஒரு ரிப்போர்ட்டு எலுதுறனா இந்தா நீ எலுதிக் குடு
1068,அப்டின்னு தான் குடுப்பாங்களே ஒலிய அந்தளவுக்கு குடுப்பாங்க எ என் மேல நம்பிக்க இருக்குது நா நல்ல ரிப்போர்ட்டுக்கு குடுப்பேன்ட்டு
1069,அதனால ஏ ஏ ஒரு சுதந்திரத்தின நாளு குடியரசு தின நாளு
1070,ஒரு எந்த ஒரு இதுமே ரிப்போர்ட்டு கேப்பாங்க அப்போ வந்து நான் எலுதிக்கி எலுதித்தர ரிப்போர்ட்ட எல்லாருமே
1071,நெறைய எலுதி இருக்குற நல்லா எது பண்ணி குடுத்துருக்குற அப்டின்னுதான் சொல்லுவாங்க நான் அதுமாதிர நான் ஒவ்வொரு வாக்கியமும்
1072,அது நல்லா படிச்சி பாத்து இது கரெக்டான வாக்கியமா இந்த மாரிதான் எலுதோனுமானு நா கரெக்டா எலுத்து பிலை இல்லாம நா எலுதி குடுப்பேன் அது எனக்கு மிகவும் சந்தோசமா இருக்கும்
1073,நாங்க காட்டுல நெல் பயிர் தாங்க பண்ணுன்னோம் அது வெளைஞ்சி அது வர்ற வர்லியும் ஒரம் யூரியா அதெல்லாம் போட்ணும் களப்பறிக்கணும் பட்ச்சி காட்ன பிறகு மருந்தடிக்கணும்
1074,அதெல்லாம் அடிச்சி நெல் பயிர் வர்லியும் கருது வர்லையானு கவனிச்சி அது பாக்கணும் அத பாத்து எல்லாம் அறுவடைக்கு நல்ல நேரத்துல மருந்தடிக்கணும் கூலியாளு வெச்சி களப்பறிக்கணும்
1075,இன்னொரு கண்ணுல எல்லாத்தையும் பாத்துக்கிட்டு இங்க விவசாயத்த நாங்க செய்யிறோம் அதனால அதுல வர்ற லாபத்த வச்சிட்டு நாங்க சாப்புடுவோம் ஆனா சில நேரத்துல நெல்லு அறுக்கப்போறதுக்குள்ள எலி வெட்டுச்சி
1076,அதெல்லாம் நம்ம உத்தேசம் பண்ணி அதுல லாபமே நஷ்டமே அது வந்தாலும் அதெல்லாம் வாங்கி வச்சிக்கிட்டு நாங்க சாப்புடுவோம் அதுல கொஞ்சம் வச்சி சாப்ட்டுக்கிட்டுதான் இருப்போம் எங்க வீட்ல
1077,அப்பறம் மாடு மாடு
1078,கோலி இதெல்லாம் வளக்குறதுனால
1079,ஆயிரம் இருந்தாலும் இருந்து நாங்களும் அத கவனிச்சிக்கிறதுக்கு ஆள் ஏற்பாடெல்லாம் செய்வோம்
1080,நாங்க அதுக்கு தீனி வைப்போம் வைக்கோல் போடுவோம் தண்ணி காட்டுவோம் சாப்பாடு நேரம் ஆனா சாப்பாடு தண்ணி காட்டுவோம் அதுக்கு அதெல்லாம் செய்வோம்
1081,கோலிகளுக்கு அரிசி பருப்பு போட்ணும் அதெல்லாம் எந்த நேரமும் செஞ்சிக்கொண்டு அதெல்லாம் ஆடு மாடுலாம் வளப்போம்
1082,அதனால நாய் ஒன்னு வளத்தோம் நாய்க்கி சாப்பாடு தண்ணி வண்ணி எல்லாம் பாத்து குடுக்கணும் அதனால
1083,அதுவும் பசி எடுத்தா சாப்பாடு குடுக்கணும் அது பாத்துட்டு வெளியூருக்கு போனோம்ன்னா பக்கத்து வீட்ல இருக்குறவங்கள்ட்ட
1084,இதுக்கெல்லாம் அரிசிக்கு கோலிக்கி தீனியெல்லாம் குடுத்துட்டு அங்க போவோம் அதுக்கப்பறம் நாயிக்கு சாப்பாடு குடுக்கணும் மாட்டுகளுக்கு வைக்கோல் எல்லாம் வாங்கி போடுங்கன்னு சொல்லிட்டு வெளியூர் போயிட்டு வர்ற வர்லியும் அவுங்க பக்கத்துல உள்ளவங்க பாதுகாத்துக்குவாங்க ஒரு நாள் ஆகும் ரெண்ட் நாள் ஆகும்
1085,இருந்தாலும் அத மனவுட்டு வேலலாம் செஞ்சி அதுங்களுக்கு
1086,சேரின்னு சொல்லுவாங்க நான் வந்து பாத்தா நாங்க அப்பறம் மாடு ஆடு மாடுகள பாத்து நாங்க கவனிச்சிக்குவோம் அதனால அவுங்க பக்கத்துக்கு வீட்டுல இருக்குறவங்க எங்களுக்குள்ள
1087,அன்பு பாசம் இருக்குறதால நாங்க அவுங்கள்ட்ட உட்டுட்டு போவோம் அதனால அவ்ளோ தான்
1088,நான் அதிக எழுத விரும்பும் விஷயங்கள் என்னவென்று பார்த்தால் சமூகத்திற்கு சாதிக் கொடுமைகளை பற்றிதான்
1089,சாதிக் கொடுமைகள்
1090,தென்னிந்தியாவில் குறைவாகதான் உள்ளது ஆனால் வட இந்தியாவில் அதிகமா உள்ளது அதுமட்டுமின்றி வட இந்தியாவில் சாதிக் கொடுமைகளையும் தாண்டி மத வெறி அதிகமாக பின்பற்றப்படுகின்றது
1091,தென்னிந்தியாவில் சாதி மற்றும் மத வெறிமைகள் குறைவாக உள்ளன காரணம் பெரியார் போன்ற சமூக சீர்திருத்தவாதிகளினால் இதுபோன்ற விஷயங்களை மக்களுக்கு சொல்ல விரும்பும் பொழுது
1092,அதில் சில கட்டுப்பாடுகள் இருக்கின்றன
1093,அந்த காலத்தில் இருந் பெரியாருக்கு இருந்த சுதந்திரம் போல் தற்பொழுது சுதந்திர இந்தியாவில் தற்பொழுது எழுதுகின்ற எழுத்தாளர்களுக்கு அந்த அளவுக்கு உரிமை இல்லை சோசியல் மீடியாக்களில் சிலர் சாதிகளை பற்றி பேசுபவர்கள் மீது கடும் நடவடிக்கை எடுக்கப்படுகின்றன
1094,இதுபோன்ற விஷயங்களை தான் மக்களுக்கு சொல்ல விரும்புகின்றேன் சங்கக் காலங்களில் தான் சாதிக்கொடுமைகள் இருந்தது என்றால் தற்பொழுது நவீனக் காலங்களிலும் சாதிக் கொடுமைகள் இருக்கின்றன இது முற்றிலும் மறுக்கப்படவேண்டிய ஒரு விஷயமானது
1095,கல்வியறிவு பெற்றால் அனைவரும் இது போன்ற பிரச்சனைகளிலிருந்து விலகலாம்
1096,அனைவரும் மனித நேயத்துடன் காந்தி வழியை பன் பின்பற்றி அமைதி வழியில் வாழ வேண்டும்
1097,காந்தியடிகள் நான் ஒரு குஜராத்தியனாக இருப்பதை விட நான் ஒரு இந்தியனாக இருப்பதனை விட நான் ஒரு மனிதனாக இருக்க வேண்டும் என்று விரும்புகிறேன் மனிதாபிமானத்துடன் செயல்படும் ஒருவனே மனிதன் என்று காந்தியடிகள் ஒரு விளக்கம் குடுத்துள்ளார் ஸோ அதனால்
